project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39562,Antonio Ruperto Jiménez Aparicio,Estudio por análisis de imágenes y fractales de la mecanoquímica de la pared celular de cultivos en suspensión sometidos a permeabilización con agentes químicos.,Instituto Politécnico Nacional,1757931
CB-2002,39571,Sharon Zinah Herzka Llona,"Reclutamiento de juveniles tempranos del lenguado de California, Paralichthys californicus, a un sistema estuarino en Baja California","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",1240315
CB-2002,39574,Carolina Godoy Alcantar,Reconocimiento  molecular  con  macrociclos  naturales  y semisinteticos,Universidad Autónoma del Estado de Morelos,608202
CB-2002,39576,Moisés Cywiak Garbarcewicz,Sistemas Homodinos Para Caracterización Microscópica de Objetos de Fase,"Centro de Investigaciones en Optica, A.C.",420655
CB-2002,39577,Alejandro Díaz Ortiz,"First-Principles Modeling of Magnetism, Structure, and Thermodynamics at the Surface of Binary Alloys",Instituto Potosino de Investigación Científica y Tecnológica,577030
CB-2002,39579,Hugo Cabrera Ibarra,La clasificación de los 3-ovillos racionales y su aplicación a una recombinación de sitio específico,Instituto Potosino de Investigación Científica y Tecnológica,164047
CB-2002,39584,Miguel Angel Morón Ríos,Biologia y Sistemática del género Phyllophaga (Insecta: Coleoptera).,"Instituto de Ecología, A.C.",642601
CB-2002,39585,Roel Cruz Gaona,Estudio Fundamental de los Procesos Involucrados en la Electrorrecuperación de Metales Base a Partir de Soluciones de Cloruro de Amonio - Amoniaco,Universidad Autónoma de San Luis Potosí,884061
CB-2002,39599,Rodolfo Rodríguez  Carranza,Desarrollo y caracterización de un modelo in vitro para el estudio de la isquemia neuronal y el efecto neuroprotector,Universidad Nacional Autónoma de México,555100
CB-2002,39601,Victoria Sosa Ortega,Conservacion de plantas mexicanas: perspectivas desde la diversidad filogenetica,"Instituto de Ecología, A.C.",1345542
CB-2002,39607,Guilherme Luiz Guimaraes Borges,La relación entre el consumo de alcohol y las lesiones en salas de urgencias en el contexto internacional.,Universidad Autónoma Metropolitana,468332
CB-2002,39611,Jorge Martínez Contreras,Epistemología de la primatología y de la paleoantropología,Universidad Autónoma Metropolitana,1284929
CB-2002,39618,Leticia Bucio Ortíz,Factores de transcripción que responden al daño producido por cadmio en hepatocitos y su relación con el estrés oxidativo.,Universidad Autónoma Metropolitana,510150
CB-2002,39619,José Ramírez Pulido,Revisión Taxonómica y Nomenclatural de los Mamíferos de México,Universidad Autónoma Metropolitana,920229
CB-2002,39621,Vargas Fosada Rubicelia,Diseño de agentes secuestrantes de plomo en medios acuosos,Universidad Autónoma Metropolitana,468333
CB-2002,39622,José Andrés Cedillo Ortiz,Estudio de los efectos del sustituyente en la reactividad química de moléculas orgánicas,Universidad Autónoma Metropolitana,1237850
CB-2002,39634,María de Jesús Ferrara Guerrero,"Influencia de la salinidad sobre la fijación no simbiótica del nitrógeno molecular y diversidad de la comunidad bacteriana microaerofílica en el complejo laguno arrecifal de Sontecomapan,Veracruz",Universidad Autónoma Metropolitana,1187505
CB-2002,39638,Francisco Javier Medellin Rodríguez,Modificación de Nanoarcillas y su Impacto en las Propiedades de Polímeros Nanoestructurados,Universidad Autónoma de San Luis Potosí,1109866
CB-2002,39639,Antonio De León  Rodríguez,Estudio de las condiciones que afectan el procesamiento postraduccional de proteinas recombinantes en cultivos de E. coli,Instituto Potosino de Investigación Científica y Tecnológica,1484915
CB-2002,39643,Emilio Muñoz Sandoval,"Síntesis, caracterización y teoría de plomuros y multicapas de metales de transición y tierras raras",Instituto Potosino de Investigación Científica y Tecnológica,1633050
CB-2002,39645,Marco Antonio Rito Palomares,Mecanismos de partición de colorantes proteicos de origen microbiano en sistemas de dos fases acuosas,Instituto Tecnológico y de Estudios Superiores de Monterrey,395486
CB-2002,39653,Ariel Netzahualcoyotl Rodríguez Kuri,"Ciudades mexicanas del siglo XX: problemas históricos de la urbanización, ca. 1890-1970",Universidad Autónoma Metropolitana,1030735
CB-2002,39663,Marcos Gustavo Monroy Fernández,"Estudio de la Movilización/Fijación de Arsénico, Plomo, Cobre y Zinc Asociada a la Alteración Química y Microbiana de Sulfuros en Suelos Calcáreos Bajo Climas Semiáridos",Universidad Autónoma de San Luis Potosí,803996
CB-2002,39664,Dara Salcedo González,Medición de Presiones de Vapor de Soluciones Acuosas Ternarias de Compuestos Inorgánicos y Orgánicos Características de Aerosoles Atmosféricos,"Universidad Iberoamericana, A.C.",1043100
CB-2002,39666,Ángel Xolocotzi Yáñez,Fenomenología de la facticidad,"Universidad Iberoamericana, A.C.",324900
CB-2002,39667,Ahmed Imtiaz Hussain Hussain,"Indigenous groups, globalization, and the Puebla-Panama Plan: Marriage or Miscarriage","Universidad Iberoamericana, A.C.",493659
CB-2002,39668,Celia Blanco Escandón,"Programa de Comprensión, Rendimiento Académico y Tecnología Educativa para estudiantes de Derecho (Technology Literacy Program for Law Students)","Universidad Iberoamericana, A.C.",168240
CB-2002,39676,Régulo López Callejas,Implantación de Iones en Materiales de  2D y 3D Inmersos en Plasma en Cámaras de Estructura Toroidal y Cilíndrica,Instituto Nacional de Investigaciones Nucleares,844138
CB-2002,39678,Alejandro  Cornejo Rodriguez,Prueba de Ronchi con rejillas subestructuradas.,"Instituto Nacional de Astrofísica, Optica y Electrónica",451250
CB-2002,39679,Emmanuil (Manolis) Plionis ,"Cumulos de Galaxias, su Evolucion y Restricciones Cosmologicas","Instituto Nacional de Astrofísica, Optica y Electrónica",353400
CB-2002,39681,Nikolai Korneev Zabello,Exploración del comportamiento de ondas periódicas en medios ópticos no lineales: el camino de las guías de onda al caos óptico,"Instituto Nacional de Astrofísica, Optica y Electrónica",721288
CB-2002,39682,Jacinta Palerm Viqueira,Las instituciones para el gobierno del agua: El caso de las organizaciones autogestivas no burocráticas,Colegio de Postgraduados,277326
