project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Coast-CARE - Coastal Communities Adaptive and Resilient at the Edge,Coast-CARE - Coastal Communities Adaptive and Resilient at the Edge,,,,,Dr. Sameer M. Deshkar,,"Department of Architecture and Planning, Visvesvaraya National Institute of Technology, Nagpur",,,,,,,,,,,,,,,
,,Fire Performance of Aged Reinforced Concrete Structures,Fire Performance of Aged Reinforced Concrete Structures,,,,,"Dr. Umesh Kumar Sharma
Professor Mark Green",,"Departmentof Civil Engineering, IIT Roorkee, Uttarakhand
Department of Civil Engineering, Queen’s University
Ontario, Canada",,,,,,,,,,,,,,,
,,Assessment of fire performance of structural elements and structural systems through conventional fire tests and hybrid fire simulation,Assessment of fire performance of structural elements and structural systems through conventional fire tests and hybrid fire simulation,,,,,"Dr. Dipti Ranjan Sahoo
Oh-Sung Kwon",,"Civil Engineering Department, IIT Delhi
Department of Civil and Mineral Engineering, University of Toronto, Canada",,,,,,,,,,,,,,,
,,Mobile App for improving survival in fires through efficient egress The role of impromptu indoor WiFi localization and georeferenced building maps,Mobile App for improving survival in fires through efficient egress The role of impromptu indoor WiFi localization and georeferenced building maps,,,,,"Prof. Ashwin Srinivasan
Raja Sengupta",,"BITS Pilani Goa Campus
Department of Geography & School of Environment, McGill University, Quebec, Canada",,,,,,,,,,,,,,,
,,Improving Fire Safety of Structures Through the Development of Fire Retardant Laminated Glass Glazing,Improving Fire Safety of Structures Through the Development of Fire Retardant Laminated Glass Glazing,,,,,"Prof. Ajitanshu Vedrtnam
Professor Maged Youssef",,"Department of Mechanical Engineering, Invertis University, Bareilly, Uttar Pradesh
Civil and Environmental Engineering Department, Western University, London, Ontario Canada",,,,,,,,,,,,,,,
,,Structural and Functional Analyses of Geminiviral Rep Proteins,Structural and Functional Analyses of Geminiviral Rep Proteins,,,,,"Prof. Supriya Chakraborty
Prof. Marie Emma Chrissie Rey",,"Jawaharlal Lal Nehru University
University of the Witwatersrand, South Africa
",,,,,,,,,,,,,,,
,,"In vitro mass culture of Steinernema jeffreyense, a biocontrol agent against key insect pests","In vitro mass culture of Steinernema jeffreyense, a biocontrol agent against key insect pests",,,,,"Dr. Prasanna Belur D
Dr. Antoinette P Malan",,"National Institute of Technology Karnataka, Surathkal.
Stellenbosch University, South Africa",,,,,,,,,,,,,,,
,,Enhancing drought tolerance in crops species using biotechnological approaches,Enhancing drought tolerance in crops species using biotechnological approaches,,,,,"Prof. Sanjib Kumar Panda
Dr. Christell Vander Vyver",,"Life Science & Bioinformatics, Assam University, Silchar
Stellenbosch University",,,,,,,,,,,,,,,
,,Elucidating stress- responsive pathways by comparative proteome mining in legumes and cereals,Elucidating stress- responsive pathways by comparative proteome mining in legumes and cereals,,,,,"Prof. Subhra Chakraborty
Prof Bongani Ndimba",,"National Institute of Plant Genome Research,
New Delhi
ARC, South Africa",,,,,,,,,,,,,,,
,,Characterization of withanolides biosynthetic pathway genes and withanolide contents in vegetative and reproductive phase of Withania somnifera (L.) Dunal under salinity stress,Characterization of withanolides biosynthetic pathway genes and withanolide contents in vegetative and reproductive phase of Withania somnifera (L.) Dunal under salinity stress,,,,,"Dr. A. Muthusamy
Prof. A-M Botha Oberholster",,"School of Life Sciences, Manipal University
Oberholster, Stellenbosch University",,,,,,,,,,,,,,,
,,Development of a riboflavin enriched probiotic fermented product to mitigate riboflavin deficiency in Indian & South African children.,Development of a riboflavin enriched probiotic fermented product to mitigate riboflavin deficiency in Indian & South African children.,,,,,"Dr. Vijendra Mishra
Prof. Leon Milner Theodore Dicks",,"NIFTEM, Kundli, Sonepat.
University of Stellenbosch.",,,,,,,,,,,,,,,
,,Development and Standardization of Harpagophytum Procumbens (Devil’s Claw) Herbal Formulations for the Treatment of Low Back Pain as per regulatory requirements,Development and Standardization of Harpagophytum Procumbens (Devil’s Claw) Herbal Formulations for the Treatment of Low Back Pain as per regulatory requirements,,,,,"Prof. Buchi N. Nalluri
Prof. Roderick B. Walker",,"KVSR Siddhartha College of Pharmaceutical Sciences, Vijayawada
Rhodes University",,,,,,,,,,,,,,,
,,"Evaluation of nutraceuticals derived from indigenous millets for anti-tumorigenic activity and its action on the potential therapeutic targets, Notch4 and TBX3, in Oral Squamous Cell Carcinoma (OSCC).","Evaluation of nutraceuticals derived from indigenous millets for anti-tumorigenic activity and its action on the potential therapeutic targets, Notch4 and TBX3, in Oral Squamous Cell Carcinoma (OSCC).",,,,,"Dr. Devi. A
Prof. Sharon Prince",,"SRM University, SRM Nagar Kattankulathur
University of Cape Town, SA",,,,,,,,,,,,,,,
,,Investigations into the cancer chemopreventive activities of the dietary flavonol fisetin,Investigations into the cancer chemopreventive activities of the dietary flavonol fisetin,,,,,"Prof. Rana P. Singh
Dr. Catherine H Kaschula",,"School of Life Science, Jawaharlal Nehru University
University of Cape Town",,,,,,,,,,,,,,,
,,"Nutritional and nutraceutical properties of cereal and legume-based traditional foods from India and South Africa and their role in addressing malnutrition, hidden hunger and chronic non - communicable diseases.","Nutritional and nutraceutical properties of cereal and legume-based traditional foods from India and South Africa and their role in addressing malnutrition, hidden hunger and chronic non - communicable diseases.",,,,,"Saikat Datta Mazumdar
Prof. Kwaku Gyebi Duodu",,"International Crops Research Institute for the semi-arid tropics, Patencheru, Telangana
University of Pretoria",,,,,,,,,,,,,,,
,,Development Of Moringa Enriched Isothiocyanate As Nutraceutical Activator Of Nrf2 Signaling For Mitigation Of Dyslipidemia,Development Of Moringa Enriched Isothiocyanate As Nutraceutical Activator Of Nrf2 Signaling For Mitigation Of Dyslipidemia,,,,,"Dr. Rajesh K Thimmulappa
Dr Anil Amichund Chuturgoonn",,"JSS Medical College, JSS University, Mysuru
University of KwaZulu-Natal",,,,,,,,,,,,,,,
,,Investigation of Traditional Medicines used as Anti-infective and against Neurodegenerative Disease,Investigation of Traditional Medicines used as Anti-infective and against Neurodegenerative Disease,,,,,"Prof. Pulok K Mukherjee
Dr.Matsabisa MG Motlalepula",,"Jadavpur University
IKS University of the Free State , SA",,,,,,,,,,,,,,,
,,Cell death induced by combination of photodynamic therapy with phytochemicals isolated from Vaccinium nilgiriensis on breast cancer therapy- an in vitro approach,Cell death induced by combination of photodynamic therapy with phytochemicals isolated from Vaccinium nilgiriensis on breast cancer therapy- an in vitro approach,,,,,"Prof. T. Parimelazhagan
Prof. Heidi Abrahamse",,"Bharathiar University, Coimbtore
University of Johannesburg",,,,,,,,,,,,,,,
