project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Nanoscale Studies of Chemisorption and Physisorption of DNA molecule at the Titanium dioxide/Water Interface ,Nanoscale Studies of Chemisorption and Physisorption of DNA molecule at the Titanium dioxide/Water Interface ,,,,,"Subrata MAJUMDER
Kenji YASUOKA",,"National Institute of Technology Patna 
Keio University",,,,,,,,,,,,,,,
,,Construction of p/n Heterojunction through the Self- assembly of Functional Dyes ,Construction of p/n Heterojunction through the Self- assembly of Functional Dyes ,,,,,"Ayyappanpillai AJAYAGHOSH
Shigeyuki YAGI",,"CSIR-National Institute for Interdisciplinary Science and Technology
Osaka Prefecture University",,,,,,,,,,,,,,,
,,Local structure and dynamics of hydrogen bonds in water: Supercooled water and binary mixtures,Local structure and dynamics of hydrogen bonds in water: Supercooled water and binary mixtures,,,,,"Biman BAGCHI
Shinji SAITO",,"Indian Institute of Science National Institutes of Natural Sciences
National Institutes of Natural Sciences",,,,,,,,,,,,,,,
,,Spin Hall nano-oscillator using ferromagnet /antiferromagnet heterostructures,Spin Hall nano-oscillator using ferromagnet /antiferromagnet heterostructures,,,,,"Pranaba Kishor MUDULI
Yasuhiro FUKUMA
",,"Institute of Technology, Delhi
Kyushu Institute of Technology",,,,,,,,,,,,,,,
,,Synthesis and physical properties of new superconductors using high-pressure technique,Synthesis and physical properties of new superconductors using high-pressure technique,,,,,"Sonachalam ARUMUGAM 
Chihiro SEKINE",,"Bharathidasan University
Muroran Institute of Technology",,,,,,,,,,,,,,,
,,Integrated thin films of graphene- ionic liquids for lubrication in MEMS application ,Integrated thin films of graphene- ionic liquids for lubrication in MEMS application ,,,,,"Om Prakash KHATRI
Hiroyuki SUGIMURA",,"Indian Institute of Petroleum
Kyoto University",,,,,,,,,,,,,,,
,,Development of peptide conjugated nano-magnetic probes as cancer theranostics,Development of peptide conjugated nano-magnetic probes as cancer theranostics,,,,,"Selvamani PALANISAMY 
Yasushi TAKEMURA",,"Anna University
Yokohama National University",,,,,,,,,,,,,,,
,,Supercritical Fluid Process Development for Next Generation (Magnesium/Sodium Ion) Battery Electrode Materials ,Supercritical Fluid Process Development for Next Generation (Magnesium/Sodium Ion) Battery Electrode Materials ,,,,,"Dinesh RANGAPPA
Takaaki TOMAI",,"Visvesvaraya Technological University
Tohoku University",,,,,,,,,,,,,,,
,,Development of light-weight lattice structure with superior shock attenuation properties ,Development of light-weight lattice structure with superior shock attenuation properties ,,,,,"Mira MITRA
Tomohiro YOKOZEKI",,"Indian Institute of Technology, Kharagpur 
The University of Tokyo",,,,,,,,,,,,,,,
,,Synthesis of soft-ionic microgels and their directed self-assembly using an external electric and chemical fields ,Synthesis of soft-ionic microgels and their directed self-assembly using an external electric and chemical fields ,,,,,"Priti Sundar MOHANTY 
Junpei YAMANAKA",,"Kalinga Institute of Industrial Technology (KIIT university) 
Nagoya City University",,,,,,,,,,,,,,,
,,Novel lipid-filled high strength polymer composite for highly functional joint prosthesis application ,Novel lipid-filled high strength polymer composite for highly functional joint prosthesis application ,,,,,"Sujeet Kumar SINHA 
Yoshinori SAWAE",,"ndian Institute of Technology Delhi
Kyushu University",,,,,,,,,,,,,,,
,,Molecular epidemiological study on drug resistance of diarrheagenic Gram-negative bacteria in India ,Molecular epidemiological study on drug resistance of diarrheagenic Gram-negative bacteria in India ,,,,,"Balasubramanian GANESH
Nobumichi KOBAYASHI",,"National Institute of Epidemiology
Sapporo Medical University",,,,,,,,,,,,,,,
,,Genome Engineering of the Bombycid and Saturniid Silkmoths in Asia,Genome Engineering of the Bombycid and Saturniid Silkmoths in Asia,,,,,"Rajesh KUMAR
Toru SHIMADA",,"Central Muga Eri Research and Training Institute, Central Silk Board, Ministry of Textiles
The University of Tokyo",,,,,,,,,,,,,,,
,,Exploring the therapeutic potential of cyclic mismatch binding ligands (CMBLs) in cervical cancer sub-sets ,Exploring the therapeutic potential of cyclic mismatch binding ligands (CMBLs) in cervical cancer sub-sets ,,,,,"Sudhir KRISHNA 
Chikara DOHNO",,"National Centre for Biological Science, TataInstitute of Fundamental Research
Osaka University",,,,,,,,,,,,,,,
,,Japan-India collaborative research aspiring for conquering sickle cell disease by elucidating the developmental mechanism ,Japan-India collaborative research aspiring for conquering sickle cell disease by elucidating the developmental mechanism ,,,,,"Manisha Rajan MADKAIKAR 
Junichi FUJII",,"National Institute of Immunohaematology
Yamagata University",,,,,,,,,,,,,,,
,,Bio-inspired nano-hierarchical architecture of fabrication and maturation of spheroid based tendon-ligament tissues ,Bio-inspired nano-hierarchical architecture of fabrication and maturation of spheroid based tendon-ligament tissues ,,,,,"Subha Narayan RATH
Koichi NAKAYAMA",,"Indian Institute of Technology, Hyderabad
Saga University",,,,,,,,,,,,,,,
,,Neuro-cognitive instrumentation of validated human-robot interactions to enhance learning and developmental processes in children,Neuro-cognitive instrumentation of validated human-robot interactions to enhance learning and developmental processes in children,,,,,"Bishakh BHATTACHARYA
Hiroaki WAGATSUMA
Hiroaki WAGATSUMA",,"Indian Institute of Technology Kanpur
Kyushu Institute of Technology",,,,,,,,,,,,,,,
,,Arc accretion in the past and present and its bearing on Metallogeny,Arc accretion in the past and present and its bearing on Metallogeny,,,,,"Sajeev KRISHNAN
Tsuyoshi TOYOSHIMA",,"Indian Institute of Science
Niigata University",,,,,,,,,,,,,,,
,,Theoretical studies in explosion physics of nearby supernovae based on high-quality optical and near-infrared observational data,Theoretical studies in explosion physics of nearby supernovae based on high-quality optical and near-infrared observational data,,,,,"Devendra Kumar SAHU
Koji KAWABATA",,"Indian Institute of Astrophysics
Hiroshima University",,,,,,,,,,,,,,,
,,Developing open source tool using quantum based feature selection for high dimensional datasets,Developing open source tool using quantum based feature selection for high dimensional datasets,,,,,"Amlan CHAKRABARTI
Basabi CHAKRABORTY",,"Calcutta University
Iwate Prefectural University",,,,,,,,,,,,,,,
,,Design and Development of Real- Time Transportation Safety Monitoring System for Smart Cities,Design and Development of Real- Time Transportation Safety Monitoring System for Smart Cities,,,,,"Mohan C. KRISHNA
Masaki ITO",,"Indian Institute of Technology Hyderabad
The University of Tokyo",,,,,,,,,,,,,,,
,,Designing emergent materials,Designing emergent materials,,,,,"Priya MAHADEVAN
Jobu MATSUNO",,"S.N.Bose National Centre for Basic Sciences
RIKEN",,,,,,,,,,,,,,,
,,India-Japan Workshop on Biomolecular Electronics and Organic Nanotechnology for Environment Preservation,India-Japan Workshop on Biomolecular Electronics and Organic Nanotechnology for Environment Preservation,,,,,"Gajjala SUMANA
Hideo KISHIDA",,"National Physical Laboratory
Nagoya University",,,,,,,,,,,,,,,
,,Highly conductive CFRP using conductive polymers and nanomaterials for structural applications,Highly conductive CFRP using conductive polymers and nanomaterials for structural applications,,,,,"Sanjay DHAKATE
Takahira AOKI",,"National Physical Laboratory
The University of Tokyo",,,,,,,,,,,,,,,
INT/RUS/RFBR/P-252,,Localization of selenium and other trace elements in edible crops cultivated in seleniferous soils,Localization of selenium and other trace elements in edible crops cultivated in seleniferous soils,,,,,"N. Tejo Prakash
Margarita G. Skalnaya",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-253,,"Probing the ligand binding and structural dynamics of an enigmatic human chemokine receptor, the D6R by NMR","Probing the ligand binding and structural dynamics of an enigmatic human chemokine receptor, the D6R by NMR",,,,,"Arun K. Shukla
Alexander S. Arseniev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-254,,"Synthesis and therapeutic potential of most promising anticancer, cytotoxic and anti- inflammatory beta carboline derivatives.","Synthesis and therapeutic potential of most promising anticancer, cytotoxic and anti- inflammatory beta carboline derivatives.",,,,,"Kakali Bhadra
Valentine G. Nenaidenko",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-255,,"Folding mechanism of Trans Activation Domain of E2A-PBX1, an Intrinsically Disordered Protein involved in Leukemia induction.","Folding mechanism of Trans Activation Domain of E2A-PBX1, an Intrinsically Disordered Protein involved in Leukemia induction.",,,,,"RajanishGiri
Irina M. Kuznetsova",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-256 ,,Interplay of metabolic and signal pathways of N-acyl dopamines and cholesterol in cancer cells,Interplay of metabolic and signal pathways of N-acyl dopamines and cholesterol in cancer cells,,,,,"Chandi C. Mandal
Vladimir V. Bezuglov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-257,,"Cellular localization and functional characterization of the Voltage-gated Ca+2- channel VGCC and enzyme- rhodopsin COP5 in the microalga Chlamydomonasreinh ardtii using genome editing, biochemical and transcriptomics approaches","Cellular localization and functional characterization of the Voltage-gated Ca+2- channel VGCC and enzyme- rhodopsin COP5 in the microalga Chlamydomonasreinh ardtii using genome editing, biochemical and transcriptomics approaches",,,,,"Suneel Kateriya
Irina Sizova",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-258,,New chromatin insulator-associated factors in Drosophila,New chromatin insulator-associated factors in Drosophila,,,,,"Rakesh K Mishra
Pavel Georgiev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-259,,Probing of interactions between proteins from bacterium Neisseria gonorrhoeae mismatch repair system by mass spectrometric analysis of crosslinked biomolecules.,Probing of interactions between proteins from bacterium Neisseria gonorrhoeae mismatch repair system by mass spectrometric analysis of crosslinked biomolecules.,,,,,"D.N. Rao
Elena A. Kubareva",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-260 ,,Studies on the function of AOX 1 and NDB2 in regulating cold stress in plants,Studies on the function of AOX 1 and NDB2 in regulating cold stress in plants,,,,,"Sanjib Kumar Panda
GennadiiBorisovich",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-261,,Multi-wavelength studies of galactic star-forming regions,Multi-wavelength studies of galactic star-forming regions,,,,,"Devendra Kumar Ojha
Igor I. Zinchenko",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-262 ,,The phase structured coherent light beams for enhanced transmission,The phase structured coherent light beams for enhanced transmission,,,,,"Jayachandra Bingi
Almas Sadreev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-263 ,,"The establishment of the relationship between composition, atomic structure and properties of crystalline materials with hydrogen bonds","The establishment of the relationship between composition, atomic structure and properties of crystalline materials with hydrogen bonds",,,,,"R. Chitra
I.P. Makarova",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-264,,Modeling and experimental investigation of half- metallic epitaxial films based on Heusler alloys for spin-injection Terahertz and Far- Infrared Photonics,Modeling and experimental investigation of half- metallic epitaxial films based on Heusler alloys for spin-injection Terahertz and Far- Infrared Photonics,,,,,"Dibya Prakash Rai
Gennady Mikhailov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-265 ,,"Determination of the fundamental
characteristics of interstellar extinction","Determination of the fundamental
characteristics of interstellar extinction",,,,,"Dr. Jayant Murthy
Oleg Malkov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-266 ,,A systematic study of fusion and quasifission in heavy nuclei – paving the road to new element synthesis.,A systematic study of fusion and quasifission in heavy nuclei – paving the road to new element synthesis.,,,,,"E. Prasad
Nikolai Antonenko",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-267,,"Magnetic properties and structure transformations in binary Fe-Pd and ternary Fe-Pd-М (М – Ni, Ga) alloys. Experimental investigation and ab- initio study","Magnetic properties and structure transformations in binary Fe-Pd and ternary Fe-Pd-М (М – Ni, Ga) alloys. Experimental investigation and ab- initio study",,,,,"Arti Kashyap
Aleksandr Popov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-268,,Studies of the molecular orientation and radia-tion damage of DNA adsorbed on Zirconia,Studies of the molecular orientation and radia-tion damage of DNA adsorbed on Zirconia,,,,,"Subrata Majumder
Kholmirzo Kholmurodov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-269 ,,"New multiferroicalhuntites with giant effects: synthesis, experimental and theoretical investigation of agnetoelectric, magnetic and ferroelectric properties","New multiferroicalhuntites with giant effects: synthesis, experimental and theoretical investigation of agnetoelectric, magnetic and ferroelectric properties",,,,,"Dinesh Kumar Shukla
Irina AnatolievnaGudim",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-270,,The 500 parsecs around the Galactic Center,The 500 parsecs around the Galactic Center,,,,,"Biman B. Nath
Yuri Shchekinov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-271 ,,"Stars, late-type, magnetic activity, flares","Stars, late-type, magnetic activity, flares",,,,,"Jeewan C. Pandey
Igor S. Savanov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-272,,Ultrabright plasma- based gamma ray sources with petawatt laser pulses,Ultrabright plasma- based gamma ray sources with petawatt laser pulses,,,,,"Punit Kumar
Arkady Kim",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-273,,"Study of non-collinear spin textures in
asymmetric antiferromagnetic and ferromagnetic multilayer nanostructures with the Dzyaloshinskii- Moriya interaction enhanced by interface engineering","Study of non-collinear spin textures in
asymmetric antiferromagnetic and ferromagnetic multilayer nanostructures with the Dzyaloshinskii- Moriya interaction enhanced by interface engineering",,,,,"Jyoti Ranjan Mohanty
LudmilaChebotkevich",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-274,,Topological phase transitions in quasi- two-dimensional magnets,Topological phase transitions in quasi- two-dimensional magnets,,,,,"Tanusri Saha-Dasgupta
Alexander N. Vasiliev Professor",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-275,,"Investigation of structural, optical, magnetic properties and electronic structure of binary inter-metallic alloys for the spintronic applications.","Investigation of structural, optical, magnetic properties and electronic structure of binary inter-metallic alloys for the spintronic applications.",,,,,"M.Vasundhara
Yu. V. Knyazev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-276,,Probing the reionization epoch and the high redshift IGM,Probing the reionization epoch and the high redshift IGM,,,,,"Shiv Sethi
Evgenii O. Vasiliev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-277,,Response of near- surface anisotropic objects in the electromagnetic field of a high-frequency horizontal electric dipole,Response of near- surface anisotropic objects in the electromagnetic field of a high-frequency horizontal electric dipole,,,,,"SudhaAgrahari
Alexander Saraev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-278,,Mesoproterozoic microbiotas of Eurasia: an integrated approach to the Indian and Russian early eukaryote- dominated assemblages,Mesoproterozoic microbiotas of Eurasia: an integrated approach to the Indian and Russian early eukaryote- dominated assemblages,,,,,"Mukund Sharma
V.N. Sergeev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-279,,Petrology and geology of Archaean greenstone complexes of the Bundelkhand (Indian Shield) and Karelian (Fennoscandian Shield) Cratons: Implication for geodynamic reconstruction of the early Earth,Petrology and geology of Archaean greenstone complexes of the Bundelkhand (Indian Shield) and Karelian (Fennoscandian Shield) Cratons: Implication for geodynamic reconstruction of the early Earth,,,,,"Vinod K. Singh
Sc Sergei A. Svetov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-280,,Approach for the processing of data of vibro-seismic waves records and theoretical investigations on seismic waves.,Approach for the processing of data of vibro-seismic waves records and theoretical investigations on seismic waves.,,,,,"S. Kundu
Znak Vladimir Ilich",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-281,,"Petrology, ore- potential and genesis of alkaline and carbonatite complexes of Indian and Aldan shields","Petrology, ore- potential and genesis of alkaline and carbonatite complexes of Indian and Aldan shields",,,,,"Prosenjit Ghosh
Vladykin Nikolay Vasilievich",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-282,,Modeling of MHD Convective Heat Transfer Combined with Entropy Generation in Closed and Semi-open Cavities,Modeling of MHD Convective Heat Transfer Combined with Entropy Generation in Closed and Semi-open Cavities,,,,,"C. Sivaraj
M. A. Sheremet",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-283,,Application of a Novel Viscoplastic Material Model for Sheet Forming of Polymer- Metal Powder Aggregates: Experiments and Modelling.,Application of a Novel Viscoplastic Material Model for Sheet Forming of Polymer- Metal Powder Aggregates: Experiments and Modelling.,,,,," P. P. Date
Sergei Alexandrov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-284,,Effect of alloying on kinetics of globularization during hot deformation of two-phase titanium alloys,Effect of alloying on kinetics of globularization during hot deformation of two-phase titanium alloys,,,,,"K.S. Suresh
Sergey Zherebtsov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-285,,"Evaluation of the lightning attachment to
different protection schemes","Evaluation of the lightning attachment to
different protection schemes",,,,,"Udaya Kumar
Potapenko A.",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-286,,"Theoretical and experimental
research of compositematerials and structuresbehavior taking into account their manufacturing processes, intensivedeformation , and fracture","Theoretical and experimental
research of compositematerials and structuresbehavior taking into account their manufacturing processes, intensivedeformation , and fracture",,,,,"R Velmurugan
A. V. Manzhirov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-287 ,,Study of basic principles of phase transition in metal drops at nanoscale under electric current and laser radiation,Study of basic principles of phase transition in metal drops at nanoscale under electric current and laser radiation,,,,,"Praveen Kumar
Victor Koledov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-288,,Conjugacy problems in Groups of Lie type,Conjugacy problems in Groups of Lie type,,,,,"Anupam Singh
EvgenyVdovin",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-289,,Development of New Control Schemes with Optimal Trajectory Planning for a Group of Autonomous Underwater Robots in Unknown Environments.,Development of New Control Schemes with Optimal Trajectory Planning for a Group of Autonomous Underwater Robots in Unknown Environments.,,,,,"BidyadharSubudhi
Vladimir Filaretov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-290,,Novel Methods of Logic Analysis And Optimization For Reconfigurable Computer Architectures,Novel Methods of Logic Analysis And Optimization For Reconfigurable Computer Architectures,,,,,"Soumitra K Nandy
Denis Ponomaryov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-291,,Structure based design and synthesis of novel antitumor eteroareneanthracen ediones,Structure based design and synthesis of novel antitumor eteroareneanthracen ediones,,,,,"Punit Kaur
Alexander M. Korolev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-292,,Regularities of low molecular weight analytes detection by natural and synthetic receptors: Comparative analysis and application in the development of systems for antibiotics detection,Regularities of low molecular weight analytes detection by natural and synthetic receptors: Comparative analysis and application in the development of systems for antibiotics detection,,,,,"NaziaTarannum
Dzantiev Boris B",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-293,,Development of Tunable Chemosensors for Metal Ions Based on the Castagnoli- Cushman Multicomponent Chemistry,Development of Tunable Chemosensors for Metal Ions Based on the Castagnoli- Cushman Multicomponent Chemistry,,,,,"SandipanHalder
Mikhail Krasavin",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-294,,IMDAV (Intra Molecular Diels-Alder reaction in vinylarenes / vinylhetarenes ) approach in the synthesis of lactone / lactam scaffolds for biological studies and natural product synthesis,IMDAV (Intra Molecular Diels-Alder reaction in vinylarenes / vinylhetarenes ) approach in the synthesis of lactone / lactam scaffolds for biological studies and natural product synthesis,,,,,"S. G. Tilve
FedorIvanovichZubkov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-295,,"The design, synthesis and evaluation of antiproliferative activity of novel fused N-heterocyclic derivatives of steroids","The design, synthesis and evaluation of antiproliferative activity of novel fused N-heterocyclic derivatives of steroids",,,,,"Alakananda Hajra
Valerik Z. Shirinian",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-296,,Development of novel heterocyclic compounds as inhibitors of influenza virus neuraminidase.,Development of novel heterocyclic compounds as inhibitors of influenza virus neuraminidase.,,,,,"Srinivas Kantevari
Vladimir V. Zarubaev",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-297,,Diatom and cyanobacteria flora of Peninsular India: molecular reinvestigation of endemic and cosmopolitan taxa across biodiversity hotspot (Western Ghats),Diatom and cyanobacteria flora of Peninsular India: molecular reinvestigation of endemic and cosmopolitan taxa across biodiversity hotspot (Western Ghats),,,,,"Karthick Balasubramanian
Maxim Kulikovskiy",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-298,,Nucleation on nanostructured surfaces. Computer simulation studies.,Nucleation on nanostructured surfaces. Computer simulation studies.,,,,,"Jayant K. Singh
Sergey Shevkunov",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-299,,"Functional properties of electro- and
magnetostrictive materials based on transition metal oxides synthesized by hydrothermal sol-gel method.","Functional properties of electro- and
magnetostrictive materials based on transition metal oxides synthesized by hydrothermal sol-gel method.",,,,,"Radheshyam Rai
Igor Bdikin",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-300,,Ultrafast Dynamics of Excitons and Charge Carriers in the White- Light-Emitting Quantum Dots Produced at Low Temperature,Ultrafast Dynamics of Excitons and Charge Carriers in the White- Light-Emitting Quantum Dots Produced at Low Temperature,,,,,"Mohan Singh Mehata
Victor A. Nadtochenko",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-301,,Study of thermophysical properties of nanofluids and their flows for the design of new generation coolants for industrial applications.,Study of thermophysical properties of nanofluids and their flows for the design of new generation coolants for industrial applications.,,,,,"Sarith P Sathian
Valery Ya. Rudyak",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-302,,Lower atmospheric forcing leading to modifications in the upper atmosphere,Lower atmospheric forcing leading to modifications in the upper atmosphere,,,,,"Minakshi Devi
YayuRuzhin",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-303,,Creation of novel high performance membrane materials and membranes based on them,Creation of novel high performance membrane materials and membranes based on them,,,,,"Susanta Banerjee
Yuri Yampolskii",,,,,,,,,,,,,,,,,
INT/RUS/RFBR/P-304,,Bioactivity guided chemical examination of knotwood of Indian trees,Bioactivity guided chemical examination of knotwood of Indian trees,,,,,"Rakesh Kumar
Nikolay E. Nifantiev",,,,,,,,,,,,,,,,,
,,Development of an immunhistochemistry assay to detect Mycobacterium tuberculosis PknB PASTA antigen for diagnosis of extrapulmonary tuberculosis.,Development of an immunhistochemistry assay to detect Mycobacterium tuberculosis PknB PASTA antigen for diagnosis of extrapulmonary tuberculosis.,,,,,"Vinay Nandicoori
Chaouki Benabdessalem",,,,,,,,,,,,,,,,,
,,Development of starch based polyurethane nano-coatings for packaging application by sonochemical approach,Development of starch based polyurethane nano-coatings for packaging application by sonochemical approach,,,,,"Shirish Sonawane
Sami Boufi",,,,,,,,,,,,,,,,,
,,Consequences of long and intensive use of agrochemicals on the legumes-rhizobia symbiosis and potentialities of remediation.,Consequences of long and intensive use of agrochemicals on the legumes-rhizobia symbiosis and potentialities of remediation.,,,,,"Manvika Sahgal
Zribi Kais",,,,,,,,,,,,,,,,,
,,"Design, Modeling and diagnostic of wind turbines for sustainable energy efficiency","Design, Modeling and diagnostic of wind turbines for sustainable energy efficiency",,,,,"Anand Parey
Fakher Chaari",,,,,,,,,,,,,,,,,
,,Real-time end-to-end Text Detection and Recognition in the Wild.,Real-time end-to-end Text Detection and Recognition in the Wild.,,,,,"A. Umapada
Adel M. ALIMI",,,,,,,,,,,,,,,,,
,,Characterization of Oil Field Water to Mitigate a Major Environmental Hazard with Recovery of Usable Water,Characterization of Oil Field Water to Mitigate a Major Environmental Hazard with Recovery of Usable Water,,,,,"Subrata Borgohain
Monem KALLEL",,,,,,,,,,,,,,,,,
,,Studying vascular implications of scorpion venom by using whole human kinome testing platform,Studying vascular implications of scorpion venom by using whole human kinome testing platform,,,,,"Suvro Chatterjee
Lamia Borchani",,,,,,,,,,,,,,,,,
,,Development and Tribological Characterization of Self Lubricating Nano- Silicon Nitride and Nano-Sialon Ceramic Composites,Development and Tribological Characterization of Self Lubricating Nano- Silicon Nitride and Nano-Sialon Ceramic Composites,,,,,"Mohd Farooq Wani
Mohamed KHARRAT",,,,,,,,,,,,,,,,,
,,Phytoremediation of Heavy- Metal-Contaminated Soils in Tunisia and India using Frankia-Alnus symbiosis,Phytoremediation of Heavy- Metal-Contaminated Soils in Tunisia and India using Frankia-Alnus symbiosis,,,,,"Arnab Sen
Maher Gtari",,,,,,,,,,,,,,,,,
,,Development of multi stage fluid bed biomass gasification system,Development of multi stage fluid bed biomass gasification system,,,,,"Anbumalar V
Borjini Mohamed Naceur",,,,,,,,,,,,,,,,,
,,Comparative study of Shiga Toxin producing Escherichia coli biodiversity in India and Tunisia: An integrated surveillance and molecular characterization of Shiga Toxin producing Escherichia coli (STEC) and its antimicrobial resistance and zoonotic significance.,Comparative study of Shiga Toxin producing Escherichia coli biodiversity in India and Tunisia: An integrated surveillance and molecular characterization of Shiga Toxin producing Escherichia coli (STEC) and its antimicrobial resistance and zoonotic significance.,,,,,"A. JagadeeshBabu
Lilia Messaidi",,,,,,,,,,,,,,,,,
,,A new three axis MEMS accelerometer based on piezoresistive nanomaterials.,A new three axis MEMS accelerometer based on piezoresistive nanomaterials.,,,,,"V. Ramgopal Rao
Brahim Mezghani",,,,,,,,,,,,,,,,,
,,"Synthesis of novel low-cost biosorbents based on modifiedcellulosic agro-wastes by tetraethylenepentamine, triethylenetetramine, or diethylenetriamine and adsorption study for anionic dyesremoval.","Synthesis of novel low-cost biosorbents based on modifiedcellulosic agro-wastes by tetraethylenepentamine, triethylenetetramine, or diethylenetriamine and adsorption study for anionic dyesremoval.",,,,,"Sunil Khare
Achraf GHORBAL",,,,,,,,,,,,,,,,,
,,Identification of major genetic and epigenetic components in the otosclerosis,Identification of major genetic and epigenetic components in the otosclerosis,,,,,"PV Ramchander
Saber Masmoudi",,,,,,,,,,,,,,,,,
,,Hierarchical Control of Hybrid Power Systems,Hierarchical Control of Hybrid Power Systems,,,,,"Somnath Maity
Abdelmajid Jemni",,,,,,,,,,,,,,,,,
,,An Exploratory Study of the Role of Inflammasomes on Aberrant Neurodevelopment in Schizophrenia,An Exploratory Study of the Role of Inflammasomes on Aberrant Neurodevelopment in Schizophrenia,,,,,"John P. John
Besma BEL HADJ JRAD",,,,,,,,,,,,,,,,,
,,Proteomic analysis of the interaction of Agrobacterium tumefaciens and Erwinia amylovora bacterial phytopathogens with Bacillus biocontrol agents and their active compounds in vitro and in plants,Proteomic analysis of the interaction of Agrobacterium tumefaciens and Erwinia amylovora bacterial phytopathogens with Bacillus biocontrol agents and their active compounds in vitro and in plants,,,,,"Sanjeeva Srivastava
Olfa Frikha- Gargouri",,,,,,,,,,,,,,,,,
,,Sustainable and Economical Functionally Graded Rubberized Concrete Pavements,Sustainable and Economical Functionally Graded Rubberized Concrete Pavements,,,,,"Sandeep Chaudhary
Sami El-Borgi",,,,,,,,,,,,,,,,,
,,Diversity of tomato seed borne endophytes and their applications for the promotion of palnt growth and defence against pathogens,Diversity of tomato seed borne endophytes and their applications for the promotion of palnt growth and defence against pathogens,,,,,"Nutan Kaushik
Naceur Djebali",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 119/2016,,Peptide Based Semiconducting Materials for Organic-electronic devices,Peptide Based Semiconducting Materials for Organic-electronic devices,,,,,"Oren A. Scherman
Debapratiom Das",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 120/2016,,"Past, present and future of bats in Western and Central India – impact and implications of climate change on species ranges","Past, present and future of bats in Western and Central India – impact and implications of climate change on species ranges",,,,,"Gareth Jones
Chelmala Srinivasulu",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 121/2016,,Methanol Fed High Energy Density Fuel Cell System with Novel Catalyst and Flow Field Design,Methanol Fed High Energy Density Fuel Cell System with Novel Catalyst and Flow Field Design,,,,,"Rui Chen
P. Karthikeyan",,,,,,,,,,,,,,,,,
